k_size	total_transcripts	total_unique_gene_names	genome_count	strict_threshold	basic_threshold	strict_shared_transcripts_all_genomes	basic_shared_transcripts_all_genomes	strict_shared_unique_gene_names	basic_shared_unique_gene_names
15	197211	36994	11	0.9	0.80	197210	197210	36994	36994
18	197211	36994	11	0.9	0.80	197210	197210	36994	36994
20	197211	36994	11	0.9	0.80	197210	197210	36994	36994
22	197211	36994	11	0.9	0.80	197209	197209	36994	36994
24	197211	36994	11	0.9	0.80	197209	197209	36994	36994
25	197211	36994	11	0.9	0.80	197209	197209	36994	36994
26	197211	36994	11	0.9	0.80	197209	197209	36994	36994
27	197211	36994	11	0.9	0.80	197209	197209	36994	36994
28	197211	36994	11	0.9	0.80	197208	197208	36993	36993
29	197211	36994	11	0.9	0.80	197208	197208	36993	36993
30	197211	36994	11	0.9	0.80	197208	197208	36993	36993
31	197211	36994	11	0.9	0.80	197208	197208	36993	36993
32	197211	36994	11	0.9	0.80	197208	197208	36993	36993
